sample_ID,,,204Pb_206Pb,207Pb_206Pb,206Pb_percent,U_ppm,Th_U,206Pb_238U_date,206Pb_238U_date_err,207Pb_206Pb_date,207Pb_206Pb_date_err,207Pb_235U,207Pb_235U_err,206Pb_238U,206Pb_238U_err,rho,rim_core
BV10,7.1,,0.000008,0.0791,0.014,300,0.18,1137,66,1172,71,2.1,7.3,0.1928,6.3,0.871,core
BV10,8.1,,0.000061,0.0741,0.1,140,0.37,1099,69,1020,130,1.876,9.2,0.1858,6.8,0.736,core
BV10,9.1*,,0.000029,0.0728,0.05,600,0.22,1043,49,996,73,1.752,6.2,0.1756,5.1,0.815,rim
BV10,10.1*,,-0.000024,0.0728,-0.042,510,0.49,1003,12,1018,42,1.699,2.4,0.1684,1.2,0.513,rim
BV10,11.1,,0.000083,0.078,0.14,250,0.34,995,11,1116,180,1.768,9,0.1669,1.2,0.129,core
BV10,12.1,,0.000025,0.0728,0.043,320,0.34,969,15,999,24,1.62,2.1,0.1622,1.7,0.817,core
BV10,12.2*,,0.00009,0.0738,0.15,790,0.15,954,11,1000,16,1.595,1.4,0.1595,1.2,0.828,rim
BV10,13.1,,0.000046,0.0746,0.079,400,0.32,1088,63,1039,110,1.873,8.4,0.1838,6.3,0.753,core
BV10,14.1,,0,0.0791,0,350,0.34,1053,56,1174,68,1.934,6.7,0.1774,5.8,0.861,core
BV10,15.1,,0.00002,0.076,0.034,520,0.25,1030,24,1089,44,1.809,3.3,0.1732,2.5,0.752,core
BV10,16.1*,,-0.000019,0.0718,-0.032,490,1.25,1010,19,987,9,1.684,2.1,0.1696,2,0.975,rim
BV10,17.1,,0.000085,0.0716,0.15,160,0.39,1006,14,940,35,1.64,2.3,0.1689,1.5,0.67,core
BV10,18.1,,0.000075,0.0788,0.13,200,0.51,1133,22,1140,28,2.059,2.5,0.1921,2.1,0.825,core
BV10,19.1,,0.000034,0.0746,0.057,220,0.32,1089,84,1044,130,1.879,10.7,0.184,8.4,0.787,core
BV10,20.1,,0.000012,0.0801,0.02,230,0.33,1049,81,1196,150,1.948,11.2,0.1767,8.4,0.752,core
BV10,21.1,,0.000072,0.0805,0.12,280,0.37,1172,20,1183,45,2.183,2.9,0.1993,1.8,0.625,core
BV10,22.1,,0.000023,0.0733,0.039,330,0.4,1015,25,1013,36,1.716,3.2,0.1705,2.7,0.831,core
BV10,23.1,,0.000018,0.0787,0.03,230,0.44,1137,15,1159,24,2.087,1.9,0.1929,1.4,0.756,core
BV10,24.1,,-0.000018,0.0714,-0.031,160,0.43,1049,12,976,130,1.745,6.4,0.1766,1.2,0.189,core
BV10,25.1,,0.000116,0.0802,0.2,130,0.49,1119,16,1162,35,2.054,2.4,0.1896,1.6,0.678,core
BV10,26.1,,-0.000064,0.0723,-0.11,290,0.33,998,11,1020,74,1.69,3.9,0.1674,1.2,0.3,core
BV10,27.1,,0.000208,0.0734,0.36,92,0.38,1061,56,939,130,1.735,8.7,0.1788,5.8,0.662,core
BV10,27.2*,,0.000024,0.073,0.041,520,0.08,974,17,1006,18,1.636,2.1,0.1632,1.9,0.907,rim
BV10,28.1,,-0.000024,0.077,-0.04,180,0.36,1038,69,1131,260,1.865,14.7,0.1748,7.2,0.489,core
BV10,29.1,,0.000054,0.0817,0.089,180,0.35,1097,55,1219,85,2.069,7,0.1854,5.5,0.785,core
BV10,30.1,,0.000093,0.0772,0.16,190,0.35,1034,11,1092,48,1.82,2.7,0.1739,1.2,0.445,core
BV10,31.1,,-0.000058,0.0764,-0.097,160,0.36,1083,15,1126,93,1.946,4.9,0.1829,1.5,0.312,core
